id,success,tokenNum,teamSize,country,categories,overallrating,offered_ownership,enddate,startdate,tokenName,tokenPrice,tokenType,platform,acceptingCurrency,softcap,hardcap,whitepaper,video,socialMedia
1,0,12750000,14,Estonia,"Charity,Education,Health,Smart Contract",2.6,0.8,"Sunday, 15 April, 2018","Thursday, 1 March, 2018",REDLcoin,1 REDL = 1 USD,ERC20,Ethereum,ETH,1,1,1,1,0
2,0,0,13,Singapore,Infrastructure,2.1,0.7,"Friday, 25 August, 2017","Tuesday, 25 July, 2017",SLOGN,1 SLOGN= 0.0001 ETH,"8,00,00,00,000",,ETH,1,1,1,1,0
3,1,2220000000,9,Singapore,"Platform,Business services",2.5,0.37,"Thursday, 23 November, 2017","Saturday, 18 November, 2017",TNB,1 TNB = 0.00005 ETH,ERC20,Ethereum,,1,1,1,0,3
4,0,40000000,0,USA,"Cryptocurrency,Business services,Entertainment,Internet,Retail",1.5,0.8,"Thursday, 26 April, 2018","Monday, 26 March, 2018",GIF,1GIF = 0.00969635 USD,ERC20,Ethereum,"ETH, BTC, LTC",1,1,1,1,0
5,1,45000000,7,Mexico,"Internet,Infrastructure,Cryptocurrency,Business services,Big Data,Banking,Artificial Intelligence,Legal,Real estate,Smart Contract,Software",2.1,0.5,"Friday, 18 May, 2018","Sunday, 22 April, 2018",AIRE,1 ETH = 4440 AIRE,ERC20,Ethereum,"ETH , BTC",1,1,1,0,0
6,1,80000000,20,Gibraltar,"Platform,Infrastructure,Energy",4.3,0.1,"Friday, 2 February, 2018","Thursday, 1 February, 2018",WPR,"1 ETH = 8,000 WPR",,Ethereum,ETH,1,1,1,1,2
7,0,120000000,10,South Africa,"Platform,Cryptocurrency,Internet,Media,Retail",3.5,0.32,"Monday, 30 April, 2018","Monday, 12 March, 2018",CBC,"1 ETР = 6,000 CBC",ERC20,Ethereum,ETH,0,0,1,1,3
8,1,,10,Hong Kong,"Cryptocurrency,Platform",2.8,0.51,"Saturday, 17 March, 2018","Saturday, 17 February, 2018",XCD,,ERC20,Ethereum,ETH,0,1,1,1,0
9,0,10000000,4,Switzerland,"Smart Contract,Cryptocurrency",2.5,,"Monday, 23 April, 2018","Saturday, 24 March, 2018",SPIN,1 ETH = 500 SPIN,ERC20,Ethereum,,1,1,1,1,0
10,1,51000000,22,UK,"Banking,Platform,Software",3.5,0.51,"Wednesday, 6 December, 2017","Monday, 6 November, 2017",CAS,1 CAS = 0.1 USD,ERC20,Ethereum,"ETH, BTC, Fiat",0,1,1,0,3
11,1,,15,USA,Banking,3.9,,"Thursday, 28 December, 2017","Tuesday, 28 November, 2017",BKX,1 ETH = 500 BKX,,Ethereum,"BTC, ETH, WAVES, TIME, Lightcoin, SALT",1,1,1,1,2
12,1,6000000,7,Russia,"Infrastructure,Platform",3.3,0.6,"Sunday, 8 October, 2017","Friday, 8 September, 2017",CCT,1 CCT = 0.01 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
13,0,0,13,Estonia,"Cryptocurrency,Internet,Investment,Energy",2,0.8,"Thursday, 30 November, 2017","Wednesday, 1 November, 2017",BNS,1 ETH = 800 BNS,ERC20,Ethereum,,1,1,1,0,0
14,0,0,7,USA,"Platform,Investment,Cryptocurrency",2.1,0.55,"Tuesday, 31 October, 2017","Sunday, 1 October, 2017",BIX,1800 BIX = 1 ETH,ERC20,Ethereum,ETH,0,1,1,0,3
15,1,30000000,12,Japan,Business services,2.3,0.3,"Sunday, 29 April, 2018","Sunday, 1 April, 2018",MTK,1 MTK = 7.5 USD,ERC20,Ethereum,"ETH, BTC, Fiat",0,1,1,1,0
16,0,0,4,United Kingdom,"Artificial Intelligence,Investment,Big Data",1.9,0.8,"Saturday, 3 March, 2018","Saturday, 3 February, 2018",HYD,1 ETH = 1000 HYD,ERC20,Ethereum,"ETH, BTC",1,0,1,0,0
17,0,100000000,3,United Arab Emirates,"Platform,Other",1.8,,"Thursday, 15 February, 2018","Monday, 15 January, 2018",NHT,1 NHT = 0.8 USD,ERC20,EOS,ETH,0,0,1,1,0
18,1,29999997,6,Switzerland,Health,2.5,0.3,"Saturday, 30 September, 2017","Wednesday, 30 August, 2017",LTA,1 LTA = 1 USD,,Litecoin,"BTC, ETH, Fiat",0,1,1,1,0
19,0,90000000,17,Hong Kong,"Platform,Internet,Communication,Business services,Sports",3.6,0.45,"Sunday, 10 June, 2018","Wednesday, 25 April, 2018",FAS,1 ETH = 3012 FAS,ERC20,Ethereum,"ETH, BTC",1,1,1,1,0
20,0,0,10,Russia,"Business services,Investment,Energy",3.4,0.6,"Tuesday, 31 October, 2017","Monday, 11 September, 2017",MITO,1 MITO = 0.003 ETH,ERC20,Ethereum,ETH,0,0,1,1,0
21,0,30000000,8,USA,Media,2.3,0.3,"Monday, 11 June, 2018","Sunday, 11 March, 2018",CTV,"1ETH = 1,000 CTV",ERC20,Ethereum,ETH,0,1,1,1,0
22,0,0,8,Cyprus,"Infrastructure,Real estate,Tourism",2.8,0.8,"Tuesday, 29 May, 2018","Tuesday, 6 March, 2018",GO,1 ETH = 50000 GO,ERC20,Ethereum,"ETH, BTC, LTC, DASH",1,1,1,0,0
23,1,187500000,14,USA,"Artificial Intelligence,Business services",2.9,0.75,"Friday, 12 January, 2018","Monday, 8 January, 2018",AXP,1 AXP = 0.1 USD,ERC223,Ethereum,"ETH, BTC",1,1,1,1,3
24,1,,15,Bulgaria,Platform,3.2,,"Monday, 19 June, 2017","Monday, 29 May, 2017",AE,,,Ethereum,"ETH, BTC",0,0,1,1,0
25,1,,11,Singapore,Software,2.6,0.33,"Sunday, 31 December, 2017","Saturday, 19 August, 2017",AUTH,1 ETH = 2226 AUTH,ERC20,Ethereum,"ETH, BTC, BCH, LTC, DASH, Fiat",0,1,1,0,0
26,0,100000000,11,Hong Kong,Infrastructure,1.8,0.5,"Saturday, 20 January, 2018","Monday, 6 November, 2017",ASTR,1 ETH = 32 ASTR,ERC20,Ethereum,"BTC, ETH",0,0,1,1,0
27,0,0,4,Bulgaria,Other,1.5,0.8,"Monday, 18 December, 2017","Thursday, 16 November, 2017",CAMX,,,WAVES,"BTC, ETH, ETC, XRP, LTC, DASH, XEM, WAVES, ZEC, Fiat",0,1,1,0,0
28,0,400000000,1,Russia,Investment,1.3,0.4,"Monday, 19 March, 2018","Monday, 19 February, 2018",,0.95 - 1 USD,,WAVES,"BTC, ETH, WAVES",1,1,1,0,0
29,0,0,0,USA,Investment,2.1,,"Sunday, 28 January, 2018","Monday, 18 December, 2017",RTC,1 RTC = 0.8-1 USD,ERC20,Ethereum,"ETH, BTC",0,0,1,0,0
30,1,,13,USA,"Cryptocurrency,Platform",3.3,,"Monday, 26 September, 2016","Sunday, 25 September, 2016",1ST,170 1ST = 1 ETH,,Ethereum,ETH,0,0,1,1,3
31,1,,16,Estonia,"Entertainment,Platform",3.1,,"Sunday, 31 December, 2017","Wednesday, 6 September, 2017",BETM,1 BETM = 1 USD,ERC20,Ethereum,"BTC, ETH, LTC, DASH, Fiat",0,0,1,1,0
32,1,3000000,9,United Arab Emirates,Cryptocurrency,2.8,0.2,"Friday, 11 August, 2017","Monday, 10 July, 2017",RKC,The market will determine the value of the coin.,ERC20,Ethereum,"ETH, BTC",0,1,1,1,0
33,0,142975000,23,USA,"Cryptocurrency,Casino & Gambling,Entertainment,Platform,Software",3.6,0.33,"Friday, 27 April, 2018","Tuesday, 10 April, 2018",CBC,1 CBC = 0.50 - 0.75 USD,ERC20,Ethereum,"ETH, BTC, LTC",1,1,1,0,3
34,0,200000000,9,USA,"Legal,Cryptocurrency,Platform,Real estate,Smart Contract",3.9,0.4,"Tuesday, 15 May, 2018","Thursday, 15 February, 2018",RLTY,1 RLTY = 0.0008 ETH,ERC20,Ethereum,"ETH, BTC, LTC, ADA, ETC, BCH, ZEC",0,1,1,1,0
35,0,44000000,0,USA,"Entertainment,Internet",1.4,,"Wednesday, 28 February, 2018","Thursday, 1 February, 2018",ERX,"3,500 ERX = 1 ETH",ERC20,Ethereum,ETH,0,0,1,0,0
36,1,24000000,11,Singapore,"Platform,Cryptocurrency,Software",3.2,0.78,"Sunday, 20 May, 2018","Friday, 20 April, 2018",MIRA,1 MIRA = 0.7-1.0 USD,ERC20,Ethereum,"BTC, ETH, LTC, DASH",1,1,1,1,0
37,1,122400000,16,Cyprus,"Business services,Investment,Internet",3,0.68,"Sunday, 11 March, 2018","Sunday, 11 February, 2018",SCR,"1 ETH = 3,000 SCR",ERC20,Ethereum,ETH,0,0,1,1,0
38,1,1,10,India,"Cryptocurrency,Investment,Media,Software",4.3,0.72,"Thursday, 31 May, 2018","Thursday, 1 March, 2018",RBC,1 RBC = 0.03 USD,ERC20,Ethereum,ETH,1,1,1,1,0
39,0,204000000,21,Isle of Man,"Internet,Entertainment,Cryptocurrency,Casino & Gambling,Sports",4.1,0.34,"Wednesday, 11 April, 2018","Wednesday, 4 April, 2018",LCK,,ERC20,Ethereum,ETH,0,1,1,1,0
40,1,,15,Singapore,Media,2.9,,"Thursday, 31 August, 2017","Thursday, 17 August, 2017",HUB,1000 HUB = 1 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
41,0,21000000,4,Russia,Sports,2.1,,"Monday, 25 December, 2017","Friday, 10 November, 2017",BBC,,,Ethereum,ETH,1,1,1,0,0
42,0,20,0,Singapore,"Cryptocurrency,Investment",1.9,,"Tuesday, 15 May, 2018","Sunday, 1 April, 2018",SPHINX,1 SPHINX =  0.5 USD,ERC20,Ethereum,ETH,0,0,1,0,0
43,0,0,10,Russia,"Artificial Intelligence,Big Data,Communication,Infrastructure,Platform",3,0.8,"Monday, 28 May, 2018","Tuesday, 1 May, 2018",INP,"1 ETH = 5,000 INP",ERC20,Ethereum,"BTC, ETH, Fiat",0,1,1,1,0
44,0,0,0,Canada,"Big Data,Cryptocurrency,Platform,Software",1.8,,"Thursday, 22 March, 2018","Thursday, 22 February, 2018",CCC,"65,000 CCC = 1 ETH",ERC20,Ethereum,ETH,0,0,1,0,0
45,0,139000000,6,Thailand,Education,2.4,,"Thursday, 31 May, 2018","Monday, 16 April, 2018",JOI,"1 ETH = 10,000 JOI",ERC20,Ethereum,ETH,0,0,1,1,0
46,0,20000000,6,Russia,"Platform,Internet,Business services",2.9,,"Friday, 3 November, 2017","Tuesday, 3 October, 2017",VOTES,1 VOTES = 0.1 USD,ERC20,Ethereum,"ETH, BTC",0,1,1,1,0
47,1,,1,Israel,"Platform,Casino & Gambling",1.3,,"Tuesday, 23 May, 2017","Tuesday, 2 May, 2017",E4ROW,,,Ethereum,ETH,1,1,1,0,0
48,0,15000000,6,Seychelles,"Platform,Cryptocurrency,Entertainment,Internet,Casino & Gambling,Sports",2.4,0.62,"Saturday, 2 September, 2017","Friday, 11 August, 2017",HT,1 HT = 1 USD,,Ethereum,ETH,0,1,1,1,0
49,1,215000000,0,Canada,"Internet,Platform",1.9,0.72,"Thursday, 10 May, 2018","Friday, 2 February, 2018",ECKO,1 ECKO = 0.04 USD,POS,x13,,0,0,1,1,0
50,1,350000000,14,Slovenia,"Cryptocurrency,Internet,Tourism",3.3,0.35,"Tuesday, 20 March, 2018","Tuesday, 20 February, 2018",FTR,1 FTR = 0.016 EUR,ERC20,Ethereum,ETH,1,1,1,1,2
51,0,20000000,9,Latvia,"Banking,Infrastructure,Software",3.8,0.33,"Friday, 8 June, 2018","Tuesday, 8 May, 2018",ICOP,Dutch auction,ERC20,Ethereum,ETH,1,1,1,1,0
52,0,192000000,16,Czech Republic,"Business services,Cryptocurrency",2.8,0.96,"Wednesday, 29 November, 2017","Thursday, 12 October, 2017",ATN,800 ATN = 1 ETH,,Ethereum,ETH,1,0,1,0,0
53,1,2000000,0,Singapore,"Software,Cryptocurrency",2.1,,"Wednesday, 30 March, 2016","Tuesday, 29 March, 2016",DGD,,,Ethereum,ETH,0,0,1,0,3
54,1,433494437,15,USA,"Platform,Business services",2.6,0.55,"Thursday, 2 November, 2017","Monday, 2 October, 2017",DRGN,,ERC20,Ethereum,"ETH, BTC",0,1,1,1,3
55,1,1000000000,12,USA,Cryptocurrency,2.8,,"Wednesday, 31 May, 2017","Wednesday, 31 May, 2017",BAT,"1 ETH = 6,400 BAT",ERC20,Ethereum,ETH,0,0,1,1,3
56,1,,7,USA,"Business services,Cryptocurrency,Communication",2,0.64,"Saturday, 31 March, 2018","Monday, 27 November, 2017",KALA,1 KALA = 0.02 USD,ERC20,Ethereum,"BTC, ETH, LTC",0,0,1,0,0
57,0,363200000,15,Bulgaria,"Platform,Retail",3,0.8,"Tuesday, 29 May, 2018","Sunday, 15 April, 2018",EMAC,1 EMAC = 0.0001 ETH,ERC20,Ethereum,"BTC, ETH, fiat",1,1,1,1,0
58,1,3000000000,17,Russia,"Investment,Platform,Internet,Cryptocurrency",3.1,0.59,"Friday, 15 December, 2017","Wednesday, 29 November, 2017",KRM,1 KRM = 0.01 USD,,Ethereum,"BTC, ETH, Fiat",1,1,1,1,0
59,1,21000000,13,Estonia,"Legal,Business services,Platform",4.5,0.7,"Monday, 30 April, 2018","Monday, 12 February, 2018",JOT,1 JOT = $0.51,,Ethereum,"ETH, BTC, LTC, ETC, BCH",1,1,1,1,0
60,1,60000000,4,USA,Business services,2.3,,"Monday, 14 August, 2017","Friday, 14 July, 2017",XCJ,1000XCJ = 1ETH,,Ethereum,ETH,0,1,1,0,0
61,0,10000000,6,Russia,"Banking,Investment",2.1,0.5,"Wednesday, 7 February, 2018","Sunday, 20 August, 2017",INTL,1 INTL = 1 USD,,,"BTC, ETH, LTC",0,1,1,0,0
62,1,500000000,13,Estonia,"Artificial Intelligence,Banking,Cryptocurrency",4.2,,"Wednesday, 4 April, 2018","Sunday, 4 March, 2018",AMN,1 AMN Token = 0.05 USD,ERC20,Ethereum,"BTC, ETH",1,1,1,1,3
63,0,65000000,7,USA,"Platform,Cryptocurrency,Software",2.4,0.65,"Tuesday, 25 July, 2017","Sunday, 25 June, 2017",GUNS,1000 GUNS = 1 ETH,ERC20,Ethereum,ETH,0,1,1,1,0
64,1,180000000,8,Hong Kong,"Investment,Platform,Real estate,Smart Contract",2.5,0.5,"Tuesday, 1 May, 2018","Wednesday, 14 March, 2018",BASE,"1 BASE = 3,000 ETH",ERC20,Ethereum,ETH,1,1,1,1,0
65,1,185,9,Canada,"Smart Contract,Cryptocurrency",2.6,0.74,"Monday, 30 April, 2018","Sunday, 1 April, 2018",FROIN,1 ETH = 1000 FROINS,ERC20,Ethereum,"ETH, BTC",1,0,1,1,0
66,1,700000000,21,Marshall Islands,"Platform,Health,Communication,Business services,Internet,Cryptocurrency,Smart Contract,Software,Infrastructure,Legal",4.4,0.7,"Thursday, 31 May, 2018","Thursday, 3 May, 2018",DIW,1 ETH = 8000 DIW,ERC20,Ethereum,ETH,0,1,1,1,3
67,0,6000000,0,USA,Investment,1.1,,"Sunday, 18 February, 2018","Monday, 22 January, 2018",TUC,1 TUC = $0.30,PoW/PoS Hybrid Blockchain,,,0,0,1,0,0
68,1,750000000,11,Singapore,"Software,Tourism",4.1,0.5,"Tuesday, 13 February, 2018","Tuesday, 16 January, 2018",EBC,"1 ETH = 20,000 - 24,150 EBC",ERC20,Ethereum,ETH,1,1,1,1,0
69,1,,8,Slovenia,"Business services,Platform",3,,"Friday, 14 July, 2017","Saturday, 1 July, 2017",XRL,,,,,0,0,1,0,2
70,0,1000,4,Taiwan,Platform,2.1,,"Friday, 4 August, 2017","Friday, 14 July, 2017",ABS,1 ABS = 1000 USD,ERC20,Ethereum,ETH,0,1,1,0,0
71,1,10000000,21,Singapore,"Big Data,Business services,Cryptocurrency,Platform",4.3,0.2,"Saturday, 13 January, 2018","Monday, 1 January, 2018",EZT,1 EZT = 0.85 - 1.2 USD,ERC20,Ethereum,"BTC, ETH",1,1,1,1,0
72,0,800000,3,Belgium,Other,1.9,,"Friday, 15 September, 2017","Friday, 1 September, 2017",TMC,25 TMC = 1 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
73,0,50000000,9,India,Cryptocurrency,2.9,,"Monday, 25 December, 2017","Saturday, 25 November, 2017",ALLOY,1 ETH = 575 ALLOY,ERC20,Ethereum,"BTC, ETH",0,1,1,1,0
74,0,0,8,USA,"Communication,Platform,Software",3.4,0.7,"Saturday, 31 March, 2018","Thursday, 1 March, 2018",QBE,1 ETH = 1500 - 3000 QBE,ERC20,Ethereum,ETH,1,1,1,1,0
75,0,41000000,0,USA,"Artificial Intelligence,Cryptocurrency",2.1,0.51,"Tuesday, 5 June, 2018","Sunday, 15 April, 2018",IPAYC,"1 ETH = 1,100 IPAY",Scrypt,Scrypt,ETH,0,0,1,1,0
76,1,30000000,16,United Arab Emirates,"Platform,Cryptocurrency,Investment",4.5,0.3,"Thursday, 19 April, 2018","Monday, 19 March, 2018",PCO,1 PCO = 1.5 USD,ERC20,Ethereum,"BTC, BCH, LTC, ETH",0,1,1,1,0
77,1,5000000000,42,Luxembourg,"Business services,Big Data,Banking,Artificial Intelligence,Cryptocurrency,Investment,Legal,Platform,Smart Contract,Software",3.4,0.25,"Wednesday, 24 January, 2018","Thursday, 21 December, 2017",PCL,1 PCL = 0.01 EUR,ERC20,Ethereum,ETH,1,1,1,1,3
78,1,,10,Hong Kong,"Platform,Cryptocurrency,Software,Communication",2.9,,"Thursday, 4 January, 2018","Thursday, 30 November, 2017",ZIPT,1 ZIPT = 0.03 USD,ERC20,Ethereum,ETH,1,1,1,1,0
79,1,500000000,14,Switzerland,"Platform,Cryptocurrency,Software,Internet,Infrastructure",4.1,0.5,"Tuesday, 19 December, 2017","Tuesday, 19 December, 2017",AGI,,ERC20,Ethereum,ETH,0,0,1,1,3
80,1,150000000,29,Estonia,"Platform,Health",4.1,0.5,"Friday, 27 April, 2018","Tuesday, 27 March, 2018",TDH,1 TDH = 0.00006 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
81,0,0,11,Singapore,"Cryptocurrency,Retail,Business services",1.5,,"Thursday, 16 November, 2017","Saturday, 16 September, 2017",ACT,1 ETH = 350 ACT,,,ETH,0,0,0,1,0
82,0,1000000000,0,Belize,Cryptocurrency,2.2,0.5,"Monday, 31 July, 2017","Saturday, 1 July, 2017",OX,3000 OX = 1 ETH,ERC20,Ethereum,,0,1,1,1,0
83,0,10000000,6,Singapore,"Software,Cryptocurrency",1.6,0.5,"Friday, 12 January, 2018","Monday, 18 December, 2017",,1 ETH = 600 BCH,ERC20,Ethereum,"BTC, ETH",0,1,1,0,0
84,1,10500000,13,Sweden,Cryptocurrency,3.2,,"Saturday, 8 July, 2017","Wednesday, 28 June, 2017",NET,175 NET = 1 ETH,ERC20,Ethereum,ETH,0,1,1,1,0
85,0,20000000,11,Russia,"Platform,Cryptocurrency",2.8,0.85,"Saturday, 30 December, 2017","Tuesday, 5 December, 2017",XCH,1 XCH = 0.05 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
86,0,86400000,8,Hungary,"Electronics,Infrastructure",2.5,0.72,"Tuesday, 1 May, 2018","Sunday, 8 April, 2018",Platio Coin,1 Platio Coin = 1 USD,ERC20,Ethereum,"ETH, BTC, LTC, BTH",1,1,1,1,0
87,0,300000000,6,USA,"Health,Cryptocurrency",2.5,0.7,"Wednesday, 2 May, 2018","Monday, 2 April, 2018",DNTX,1 DNTX = 0.001 ETH,ERC20,Ethereum,,1,1,1,0,0
88,1,30000000,10,Slovenia,"Cryptocurrency,Platform,Investment",4.2,0.6,"Sunday, 15 October, 2017","Friday, 15 September, 2017",HDG,1 HDG = 0.002 ETH,,Ethereum,ETH,1,1,1,1,0
89,1,375000000,16,Slovenia,"Business services,Platform",4.1,,"Monday, 14 August, 2017","Monday, 3 July, 2017",HVN,Determined 7 days after the ICO ends.,,Ethereum,"ETH, BTC",0,1,1,1,0
90,0,0,4,Ukraine,"Platform,Business services,Investment",1.8,0.45,"Friday, 22 December, 2017","Wednesday, 22 November, 2017",RI,1 RI = 1 USD,,Ethereum,,0,0,1,0,0
91,1,350000000,15,Estonia,"Big Data,Business services,Platform,Smart Contract",4,0.35,"Thursday, 5 April, 2018","Tuesday, 27 March, 2018",BTN,1 BTN = 0.10 EUR,ERC20,Ethereum,"ETH, BTC, LTC, EOS",0,0,1,0,0
92,1,45000000,7,Spain,"Cryptocurrency,Platform,Internet,Investment,Business services,Banking,Software",2.8,0.45,"Thursday, 28 September, 2017","Thursday, 31 August, 2017",IWT,1 ETH = 1200-600 IWT,ERC20,Ethereum,ETH,0,1,1,0,0
93,1,,22,Slovenia,"Energy,Platform",3.6,,"Tuesday, 1 August, 2017","Wednesday, 28 June, 2017",SNC,"10,000 SNC = 1 ETH",,Ethereum,,0,1,1,1,2
94,0,0,4,Russia,Cryptocurrency,1.4,,"Friday, 10 November, 2017","Sunday, 10 September, 2017",,,,Waves,,0,0,0,0,0
95,0,105000000,11,Vietnam,"Artificial Intelligence,Cryptocurrency,Smart Contract",2.3,0.28,"Thursday, 22 March, 2018","Tuesday, 20 February, 2018",ERPCOIN,1 ERP = 0.8 USD,,,,1,0,1,0,0
96,1,11500000,23,Canada,Investment,3.1,,"Wednesday, 20 September, 2017","Monday, 21 August, 2017",MPK,1MPK = 1 CAD,,Waves,"BTC, ETH",0,1,1,1,3
97,1,10350000,6,Sweden,Education,2.8,0.5,"Saturday, 24 March, 2018","Saturday, 10 February, 2018",ML,1 ML = 0.001 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
98,1,10000000000,21,Lithuania,Media,3.5,0.77,"Saturday, 17 March, 2018","Thursday, 1 March, 2018",TWN,50 000 TWN = 1 ETH,ERC20,Ethereum,ETH,0,1,1,1,0
99,0,300000000,8,Canada,"Banking,Cryptocurrency",1.6,0.5,"Wednesday, 27 December, 2017","Friday, 1 December, 2017",VXT,1 ETH = 200 VXT,,Ethereum,ETH,0,0,0,0,0
100,1,600000000,13,Austria,"Entertainment,Casino & Gambling",3.7,0.3,"Saturday, 14 October, 2017","Thursday, 14 September, 2017",play,"8,500 play = 1 ETH",ERC20,Ethereum,ETH,1,1,1,1,2
101,0,75000000,12,Estonia,"Platform,Business services,Software",2.9,0.75,"Tuesday, 30 January, 2018","Friday, 1 December, 2017",STAMP,1 STAMP = 0.002 ETH,,Ethereum,ETH,1,1,1,1,0
102,0,70000000,7,Latvia,Platform,2.9,0.7,"Tuesday, 5 June, 2018","Thursday, 26 April, 2018",EAT,1 EAT = 0.00020 ETH,ERC20,Ethereum,ETH,1,1,1,0,0
103,0,600000000,15,Korea,"Artificial Intelligence,Big Data,Cryptocurrency,Investment",2.4,0.8,"Tuesday, 1 May, 2018","Sunday, 1 April, 2018",OTL,1 OTL = 0.047 USD,ERC20,Ethereum,ETH,0,1,1,0,0
104,1,,7,Russia,Investment,2.4,0.15,"Friday, 11 August, 2017","Tuesday, 11 July, 2017",SUR,1 SUR = 0.1ETH,,Ethereum and Waves,"ETH, WAVES",0,0,1,1,0
105,1,3500000000,24,Japan,"Artificial Intelligence,Big Data,Business services,Cryptocurrency,Infrastructure,Platform",3,0.35,"Thursday, 31 May, 2018","Sunday, 15 April, 2018",BAS Token,"1ETH = 150,000 BAS",ERC20,Ethereum,ETH,1,1,1,1,0
106,0,3200000000,9,Singapore,Cryptocurrency,2,0.4,"Sunday, 10 June, 2018","Wednesday, 6 June, 2018",MSC,1MSC = 0.0375RMB,ERC20,Ethereum,ETH,0,0,1,0,3
107,0,2250000000,4,Ukraine,"Artificial Intelligence,Platform",2.3,0.75,"Wednesday, 30 May, 2018","Sunday, 15 April, 2018",NSC,1 NSC = 0.1 USD,ERC20,Ethereum,ETH,1,1,1,0,0
108,0,0,0,South Korea,"Cryptocurrency,Platform",2,,"Tuesday, 10 October, 2017","Tuesday, 26 September, 2017",PLC,1 ETH = 200 PLC,ERC20,Ethereum,ETH,1,1,1,1,0
109,1,75000000,19,USA,Investment,4.1,0.87,"Thursday, 30 November, 2017","Monday, 16 October, 2017",C20,1 C20 = 1.10 USD,ERC20,Ethereum,ETH,0,1,1,1,0
110,1,11700000,8,Hong Kong,"Tourism,Platform",2.5,0.68,"Monday, 25 September, 2017","Tuesday, 29 August, 2017",TIO,"4,025 TIO = 1 ETH",ERC20,Ethereum,ETH,0,1,1,1,0
111,1,10000000,4,Panama,Entertainment,3,,"Friday, 4 August, 2017","Thursday, 6 July, 2017",MBI,,,Waves,,0,1,1,0,3
112,1,,4,USA,Investment,2.3,,"Friday, 22 September, 2017","Tuesday, 18 July, 2017",IRA,,,Waves,,0,0,1,1,0
113,1,250000000,23,Estonia,Virtual Reality,2.9,0.3,"Wednesday, 18 April, 2018","Wednesday, 21 March, 2018",MOC,"1 ETH = 10,000 MOC",ERC-20,Ethereum,ETH,0,1,1,0,0
114,1,22440000,5,UK,"Manufacturing,Platform,Health",2.1,,"Wednesday, 21 February, 2018","Thursday, 7 December, 2017",BFC,1 BFC = 0.012-0.02 ETH,ERC20,Ethereum,"BTC, ETH, LTC, ZEC, DASH",0,0,1,0,0
115,1,8700000,12,USA,"Platform,Tourism",2.4,,"Saturday, 30 September, 2017","Friday, 25 August, 2017",AVA,1 AVA = 0.0035 ETH,ERC20,Ethereum,ETH,0,0,0,1,0
116,1,24999999,22,UK,"Communication,Banking,Cryptocurrency,Investment,Other,Smart Contract,Software",4.2,0.5,"Friday, 1 June, 2018","Saturday, 3 March, 2018",AltX,1 ALTX = 1 USD,ERC20,Ethereum,"BTC, ETH",1,1,1,1,2
117,0,0,4,Malaysia,Cryptocurrency,2.3,,"Saturday, 30 September, 2017","Friday, 1 September, 2017",PITIS,1 PITIS = 0.09 USD,,,"BTC, ETH, XRP",0,0,1,0,2
118,0,255200,8,Canada,"Artificial Intelligence,Business services,Platform,Software",2.9,,"Sunday, 18 March, 2018","Thursday, 18 January, 2018",REF,"1 ETH = 1,600 REF",ERC223,Ethereum,ETH,1,1,1,1,0
119,1,,14,USA,"Business services,Platform",2.5,,"Thursday, 9 November, 2017","Monday, 9 October, 2017",SCI,1 SCI = 1 USD,ERC20,Ethereum,"BTC, ETH, EOS, Fiat",1,1,1,0,0
120,1,1000000000,3,USA,"Platform,Retail",2.5,,"Friday, 8 September, 2017","Saturday, 12 August, 2017",SGG,"5,000 SGG = 1 ETH",,Ethereum,ETH,1,1,1,1,0
121,0,7,15,Spain,"Business services,Cryptocurrency,Investment,Platform,Smart Contract,Software",4.3,0.7,"Friday, 8 June, 2018","Wednesday, 23 May, 2018",FOXT,"1 ETH = 1,200 FOXT",ERC20,Ethereum,"ETH, BTC",1,1,1,1,0
122,0,500000000,9,USA,"Platform,Tourism",2.9,0.3,"Sunday, 4 February, 2018","Monday, 8 January, 2018",BOOMR,1 BOOMR = 0.000214 ETH,ERC20,Ethereum,ETH,1,1,1,0,0
123,0,437000000,11,Slovenia,"Business services,Communication,Cryptocurrency,Platform",2.6,0.87,"Saturday, 19 May, 2018","Monday, 19 March, 2018",I2,1 I2 = 0.1 USD,ERC20,Ethereum,,1,1,1,0,0
124,1,45000000,0,Japan,"Cryptocurrency,Infrastructure",2.1,0.21,"Sunday, 20 May, 2018","Friday, 20 April, 2018",KAMI,1 KAMI = 0.0016 ETH,,CryptoKami,"ETH, BTC",1,1,1,1,0
125,0,39999999,3,Russia,"Investment,Business services",1.8,0.45,"Friday, 29 December, 2017","Friday, 27 October, 2017",GCTF,1 GCTF = 0.0375 - 0.0562 USD,,Waves,"BTC, ETH, LTС, WAVES",1,0,1,1,0
126,1,,16,Serbia,"Sports,Entertainment,Casino & Gambling",3.3,0.8,"Saturday, 16 December, 2017","Thursday, 16 November, 2017",GOAL,1 GOAL = 0.0002 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
127,1,,3,Japan,"Business services,Platform",1.2,,"Thursday, 20 October, 2016","Thursday, 15 September, 2016",BITPARK,,,,BTC,0,0,1,0,0
