id,success,tokenNum,teamSize,country,categories,overallrating,offered_ownership,enddate,startdate,tokenName,tokenPrice,tokenType,platform,acceptingCurrency,softcap,hardcap,whitepaper,video,socialMedia
414,1,230400000,10,Estonia,"Business services,Platform,Smart Contract",4,0.64,"Thursday, 10 May, 2018","Tuesday, 10 April, 2018",BLO,5700 BLK = 1 ETH,ERC223,Ethereum,ETH,0,1,1,1,0
415,0,150000000,11,Czech Republic,"Cryptocurrency,Platform,Smart Contract",2.6,0.5,"Thursday, 25 January, 2018","Monday, 11 December, 2017",DLC,"1 ETH = 5,500 - 6000 DLC",ERC20,Ethereum,"ETH, BTC",0,0,1,0,0
416,0,270000000,9,Netherlands,Cryptocurrency,1.8,0.9,"Tuesday, 1 May, 2018","Sunday, 1 April, 2018",Lyves (LYV),1 LYV = 0.00016667 ETH,ERC20,Ethereum,ETH,1,1,1,0,0
417,0,1000000,4,United States,Cryptocurrency,2.4,,"Saturday, 24 March, 2018","Saturday, 24 February, 2018",FRG,1 FRG = 0.75 - 1 USD,,"Bitcoin, Scrypt",,0,0,1,0,0
418,1,10000000,5,UK,"Real estate,Tourism",3.4,0.01,"Monday, 30 April, 2018","Wednesday, 31 January, 2018",DOC,1 DOC = 1 USD,ERC20,Ethereum,ETH,1,1,1,1,0
419,0,0,8,Brazil,Business services,1.9,,"Monday, 28 August, 2017","Friday, 28 July, 2017",MDA,,,,,0,1,1,0,0
420,1,100000000,6,Singapore,"Cryptocurrency,Smart Contract,Software",3.1,0.1,"Friday, 23 March, 2018","Friday, 16 March, 2018",SWH,1 SWH = 0.012 USD,NEP5,NEO,,0,1,1,1,3
421,1,,30,UK,"Software,Cryptocurrency",3.1,,"Monday, 17 July, 2017","Saturday, 15 July, 2017",PLR,,,Ethereum,,0,0,1,1,3
422,1,750000000,0,Canada,Entertainment,2.9,0.5,"Saturday, 20 January, 2018","Sunday, 5 November, 2017",TTT,"10,000 TTT = 1 ETH",ERC20,Ethereum,"BTC, ETH",1,1,1,1,3
423,0,500000,4,Russia,Business services,1.9,,"Monday, 16 October, 2017","Monday, 2 October, 2017",TBX,1 TBX = 1 USD,ERC20,Ethereum,"ETH, BTC",1,1,1,0,0
424,1,,9,France,"Cryptocurrency,Investment,Platform",3.4,0.6,"Thursday, 15 February, 2018","Thursday, 1 February, 2018",LGO,1 LGO =  0.000035 BTC,ERC20,Ethereum,BTC,0,1,1,0,0
425,1,20271000,21,Czech Republic,"Education,Cryptocurrency,Internet,Infrastructure,Electronics,Communication,Business services,Big Data,Investment,Legal,Media,Other,Platform,Smart Contract,Software",4.2,0.7,"Saturday, 21 April, 2018","Wednesday, 21 March, 2018",STF,"1 ETH = 2,400 STF",ERC20,Ethereum,"ETH, BTC",1,1,1,1,0
426,1,10000000,14,Russia,"Platform,Banking",2.8,,"Monday, 9 October, 2017","Monday, 25 September, 2017",ESR,1 ESR = 10 USD,,Ethereum,"BTC, ETH, Fiat",0,0,1,1,0
427,0,50000000000,11,Nigeria,"Investment,Health,Entertainment,Education,Charity,Business services,Artificial Intelligence,Platform,Real estate,Retail",3.9,0.5,"Wednesday, 30 May, 2018","Tuesday, 1 May, 2018",SANC,"1 ETH = 530,000 SANC",ERC20,Ethereum,ETH,1,1,1,1,2
